pet_sale_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_36614,2011-01-12 00:00:00,2018-02-18 15:56:00,0.0,Torbie,0.11,9.51,13,9,1,1
ANSL_22109,2015-07-24 00:00:00,2015-10-14 12:06:00,2.0,Brown Tabby,0.42,48.74,0,2,0,1
ANSL_27582,2016-12-02 00:00:00,2017-02-11 14:24:00,2.0,Black,0.9,34.45,13,9,1,1
ANSL_637,2015-07-05 00:00:00,2015-10-13 17:40:00,1.0,Flame Point,0.94,48.91,7,1,0,1
ANSL_27541,2016-01-16 00:00:00,2017-08-31 18:06:00,1.0,Yellow Brindle,0.78,17.07,0,7,0,2
ANSL_9352,2014-07-20 00:00:00,2015-06-26 17:17:00,1.0,Black,0.1,34.26,0,7,0,2
ANSL_32451,2016-03-20 00:00:00,2017-04-13 18:59:00,0.0,Brown,0.83,9.52,0,1,1,2
ANSL_11320,2015-05-01 00:00:00,2015-07-23 17:45:00,1.0,Blue Merle,0.93,16.89,0,1,0,2
ANSL_12196,2014-11-30 00:00:00,2015-02-20 13:40:00,1.0,Brown,0.44,16.94,0,1,0,2
ANSL_43091,2017-06-25 00:00:00,2017-09-10 18:29:00,1.0,Orange Tabby,0.56,32.6,0,1,0,1
ANSL_25102,2016-01-05 00:00:00,2016-05-30 17:52:00,1.0,Black Brindle,0.59,20.19,0,1,0,2
ANSL_42362,2016-11-30 00:00:00,2017-02-02 15:11:00,2.0,Calico,0.03,39.63,13,9,1,1
ANSL_25093,2008-03-31 00:00:00,2016-04-27 20:54:00,0.0,Brown,0.55,5.93,12,1,1,2
ANSL_1514,2003-10-02 00:00:00,2015-10-22 14:35:00,2.0,Tortie,0.59,36.2,18,4,1,1
ANSL_6677,2015-05-14 00:00:00,2015-10-08 17:30:00,0.0,Brown,0.47,34.9,0,1,1,2
ANSL_45925,2016-10-04 00:00:00,2016-12-10 08:34:00,2.0,Brown Tabby,0.86,23.52,9,2,0,1
ANSL_21670,2014-05-09 00:00:00,2015-06-16 17:17:00,1.0,Tan,0.18,41.4,0,1,0,2
ANSL_15219,2014-08-10 00:00:00,2015-09-04 14:52:00,0.0,Tortie,0.07,29.3,0,7,1,1
ANSL_28630,2015-07-03 00:00:00,2016-07-25 13:34:00,0.0,Brown Tabby,0.84,44.46,0,7,1,1
ANSL_23184,2016-01-31 00:00:00,2016-04-17 17:26:00,0.0,Buff,0.41,49.42,7,1,1,2
ANSL_24096,2015-05-31 00:00:00,2016-06-25 13:06:00,0.0,Red,0.82,40.15,13,9,1,2
ANSL_47980,2013-12-21 00:00:00,2017-01-20 13:55:00,1.0,Tan,0.31,30.21,13,9,0,2
ANSL_5679,2015-06-18 00:00:00,2015-11-08 18:30:00,0.0,Calico,0.32,24.86,7,1,1,1
ANSL_18436,2015-06-06 00:00:00,2015-06-30 10:57:00,,Black,0.6,45.09,13,9,2,1
ANSL_2453,2015-08-27 00:00:00,2015-10-28 15:03:00,2.0,Brown Tabby,0.8,30.08,13,9,1,1
ANSL_13366,2015-07-01 00:00:00,2015-08-13 16:15:00,2.0,Black Smoke,0.09,7.8,13,9,0,1
ANSL_28615,2017-02-24 00:00:00,2018-03-21 14:08:00,1.0,Brown Brindle,0.35,6.18,0,1,0,2
ANSL_9571,2013-08-31 00:00:00,2015-03-22 17:36:00,1.0,Brown Merle,0.25,31.3,0,7,0,2
ANSL_48360,2017-09-13 00:00:00,2018-10-04 16:24:00,,Gray,0.08,35.8,18,4,2,4
ANSL_2823,2010-06-07 00:00:00,2015-10-16 18:20:00,1.0,Black,0.53,9.86,0,1,0,2
ANSL_16216,2010-01-29 00:00:00,2016-02-21 13:32:00,0.0,Sable,0.18,13.73,13,9,1,2
ANSL_8768,2013-07-11 00:00:00,2015-08-14 20:54:00,0.0,Tan,0.53,10.27,12,1,1,2
ANSL_29435,2017-01-17 00:00:00,2017-06-14 18:47:00,0.0,White,0.03,28.12,0,1,1,2
ANSL_26334,2014-01-07 00:00:00,2016-07-05 13:07:00,0.0,Brown,0.56,25.76,0,7,1,2
ANSL_36030,2015-07-23 00:00:00,2016-08-16 18:31:00,1.0,Black,0.54,36.91,0,1,0,2
ANSL_11900,2015-09-09 00:00:00,2015-11-12 17:50:00,2.0,Orange Tiger,0.92,42.35,18,4,0,1
ANSL_2881,2014-12-28 00:00:00,2015-11-02 19:00:00,1.0,Black,0.09,27.65,7,1,0,2
ANSL_15904,2009-06-22 00:00:00,2015-07-12 17:47:00,1.0,Blue Merle,0.35,32.71,0,7,0,2
ANSL_47911,2018-01-27 00:00:00,2019-02-19 17:54:00,1.0,Black,0.14,46.23,0,7,0,2
ANSL_4804,2006-05-23 00:00:00,2015-09-01 15:37:00,0.0,White,0.09,31.09,0,7,1,2
ANSL_4934,2015-07-04 00:00:00,2015-12-25 09:00:00,2.0,Brown Tabby,0.87,30.99,16,9,1,1
ANSL_47890,2017-07-14 00:00:00,2018-08-04 18:41:00,1.0,Black,0.13,43.42,0,7,0,2
ANSL_6873,2014-07-31 00:00:00,2016-02-22 15:09:00,2.0,Tan,0.98,33.26,1,4,1,2
ANSL_21186,2014-12-29 00:00:00,2015-07-20 14:34:00,,Black,0.59,44.77,16,9,2,1
ANSL_18182,2014-06-03 00:00:00,2015-06-24 12:56:00,,Black,0.54,36.6,18,4,2,4
ANSL_31864,2010-01-19 00:00:00,2019-02-17 18:29:00,1.0,Black,0.92,48.64,0,7,0,2
ANSL_25854,2014-04-14 00:00:00,2016-05-10 17:22:00,0.0,Brown,0.11,20.1,0,1,1,2
ANSL_35606,2018-08-30 00:00:00,2019-02-10 11:20:00,1.0,Black,0.87,37.8,13,9,0,1
ANSL_3742,2013-05-24 00:00:00,2015-01-11 12:27:00,0.0,White,0.85,41.28,0,7,1,2
ANSL_11703,2015-01-14 00:00:00,2015-03-30 17:44:00,0.0,Tan,0.43,17.81,7,1,1,2
ANSL_28151,2018-07-24 00:00:00,2018-11-29 16:04:00,1.0,Black,0.74,29.97,0,1,0,1
ANSL_10062,2015-07-05 00:00:00,2015-08-12 13:01:00,2.0,Brown Tabby,0.66,26.24,0,2,0,1
ANSL_48877,2016-12-02 00:00:00,2016-12-29 18:52:00,2.0,Brown Tabby,0.4,44.47,13,9,0,1
ANSL_21854,2014-10-04 00:00:00,2016-01-30 13:06:00,2.0,Black,0.5,37.28,13,9,0,2
ANSL_32733,2018-08-14 00:00:00,2018-11-08 18:07:00,0.0,Brown,0.01,29.59,0,1,1,2
ANSL_24863,2014-10-15 00:00:00,2016-05-10 12:39:00,2.0,Cream,0.75,21.04,13,9,0,2
ANSL_7121,2011-07-02 00:00:00,2015-07-24 11:15:00,0.0,Black,0.52,39.85,0,7,1,2
ANSL_3069,2014-05-14 00:00:00,2015-03-07 11:56:00,2.0,White,0.88,5.55,13,9,1,2
ANSL_39494,2016-02-26 00:00:00,2018-03-12 13:01:00,0.0,Black,0.25,42.36,7,1,1,1
ANSL_1496,2013-09-06 00:00:00,2015-09-28 09:00:00,2.0,Blue,0.03,17.93,16,9,1,1
ANSL_39465,2016-08-17 00:00:00,2017-03-15 16:01:00,1.0,Blue Tabby,0.72,31.52,0,1,0,1
ANSL_20139,2015-05-21 00:00:00,2015-10-11 18:17:00,2.0,Fawn,0.6,12.64,0,7,1,2
ANSL_8757,2015-01-06 00:00:00,2015-12-02 11:07:00,1.0,Brown,0.33,34.19,0,1,0,2
ANSL_30413,2003-07-15 00:00:00,2018-08-05 16:11:00,2.0,Brown,0.9,21.25,13,9,0,2
ANSL_15205,2014-09-28 00:00:00,2015-10-23 17:14:00,0.0,Lynx Point,0.34,15.94,0,1,1,1
ANSL_39168,2016-08-09 00:00:00,2017-09-03 18:14:00,1.0,Tricolor,0.12,12.89,0,1,0,2
ANSL_37076,2016-08-08 00:00:00,2016-10-07 12:04:00,2.0,Black,0.43,34.07,13,9,0,1
ANSL_29023,2006-11-28 00:00:00,2018-12-24 12:31:00,1.0,Black,0.66,43.49,13,9,0,2
ANSL_30606,2016-08-03 00:00:00,2016-11-13 18:40:00,1.0,Brown Tabby,0.38,12.05,0,1,0,1
ANSL_25745,2016-01-05 00:00:00,2016-04-14 17:24:00,0.0,Brown,0.76,19.17,0,1,1,2
ANSL_33010,2017-11-03 00:00:00,2018-01-27 13:55:00,1.0,Black,0.97,43.44,13,9,0,2
ANSL_30972,2008-11-08 00:00:00,2017-06-12 17:32:00,2.0,Tan,0.58,48.59,0,7,1,2
ANSL_37426,2017-08-30 00:00:00,2017-11-21 12:07:00,0.0,Red,0.05,19.84,0,1,1,2
ANSL_9534,2013-12-14 00:00:00,2016-01-04 08:19:00,,Brown,0.81,27.39,15,4,2,4
ANSL_6914,2015-06-17 00:00:00,2015-08-30 17:32:00,2.0,Lynx Point,0.55,39.95,13,9,0,1
ANSL_34222,2017-01-29 00:00:00,2017-04-23 17:16:00,1.0,Black,0.11,42.22,0,1,0,2
ANSL_22878,2012-03-18 00:00:00,2016-04-11 15:41:00,0.0,White,0.71,46.18,0,1,1,2
ANSL_6738,2014-10-10 00:00:00,2015-10-30 13:54:00,,Brown,0.09,30.9,18,4,2,4
ANSL_42234,2015-10-21 00:00:00,2018-05-30 14:50:00,0.0,Tan,0.42,5.3,0,7,1,2
ANSL_25490,2015-04-03 00:00:00,2016-04-29 17:46:00,0.0,Black,0.47,31.93,0,1,1,2
ANSL_12328,2015-03-27 00:00:00,2015-10-18 09:09:00,,Brown,0.29,24.46,15,4,2,4
ANSL_14037,2014-08-07 00:00:00,2016-03-06 18:40:00,2.0,Brown Tabby,0.03,21.68,16,9,1,1
ANSL_28416,2016-08-01 00:00:00,2017-08-27 19:05:00,2.0,Black,0.1,48.75,16,9,1,1
ANSL_48133,2016-11-21 00:00:00,2019-01-13 12:28:00,2.0,Black,0.61,22.15,13,9,1,2
ANSL_22431,2015-04-13 00:00:00,2015-07-03 18:31:00,1.0,Chocolate,0.0,43.36,7,1,0,2
ANSL_37562,2016-09-11 00:00:00,2017-02-01 19:11:00,0.0,Tortie,0.53,15.23,0,1,1,1
ANSL_1947,2015-07-03 00:00:00,2015-09-29 17:09:00,2.0,Black,0.33,28.37,13,9,0,2
ANSL_23809,2015-05-09 00:00:00,2016-06-06 14:17:00,0.0,Tortie,0.5,26.7,0,1,1,1
ANSL_41289,2012-11-03 00:00:00,2018-12-23 18:42:00,0.0,Black,0.56,32.52,0,7,1,2
ANSL_32915,2017-07-09 00:00:00,2017-10-06 13:34:00,2.0,Blue Tabby,0.12,34.89,13,9,0,1
ANSL_21520,2015-07-11 00:00:00,2015-10-08 18:52:00,2.0,Tortie Point,0.07,29.07,0,1,1,1
ANSL_4160,2011-11-28 00:00:00,2016-01-02 16:05:00,0.0,Blue,0.2,33.08,0,7,1,2
ANSL_36646,2016-08-18 00:00:00,2016-12-22 18:12:00,1.0,Black,0.92,31.33,0,1,0,1
ANSL_4987,2015-07-19 00:00:00,2015-08-24 17:12:00,2.0,Black,0.92,5.41,13,9,1,1
ANSL_44439,2015-08-24 00:00:00,2017-10-23 14:10:00,1.0,Black,0.68,12.28,13,9,0,1
ANSL_4755,2012-01-09 00:00:00,2015-01-30 15:29:00,1.0,Black,0.35,34.66,0,7,0,2
ANSL_3061,2014-10-23 00:00:00,2015-11-20 16:34:00,2.0,Black,0.54,14.91,13,9,1,1
ANSL_42214,2017-09-21 00:00:00,2017-10-13 16:42:00,,Sable,0.2,24.18,13,9,2,1
ANSL_26785,2017-07-24 00:00:00,2018-08-20 00:00:00,0.0,Blue,0.69,34.76,17,9,1,1
ANSL_14892,2014-11-25 00:00:00,2015-03-03 16:19:00,1.0,Black,0.36,8.1,0,1,0,2
ANSL_34467,2018-10-22 00:00:00,2019-01-12 18:53:00,2.0,Brown,0.63,8.71,0,7,0,2
ANSL_209,2012-08-10 00:00:00,2015-08-31 12:25:00,,Black,0.58,31.39,15,4,2,4
ANSL_198,2014-05-09 00:00:00,2015-05-29 11:48:00,,Brown,0.96,39.53,15,4,2,4
ANSL_9982,2013-08-27 00:00:00,2015-12-13 17:55:00,0.0,Black,0.73,49.47,4,4,1,2
ANSL_34743,2015-11-11 00:00:00,2016-08-07 13:00:00,0.0,Black,0.06,48.59,13,9,1,1
ANSL_39405,2007-08-04 00:00:00,2017-09-01 14:25:00,0.0,Black,0.28,40.37,13,9,1,1
ANSL_2811,2009-06-02 00:00:00,2015-02-08 14:31:00,0.0,Tortie,0.4,37.69,7,1,1,1
ANSL_41164,2016-06-05 00:00:00,2016-07-27 16:13:00,2.0,Blue Tabby,0.17,43.03,13,9,1,1
ANSL_24604,2013-06-13 00:00:00,2016-07-11 16:04:00,0.0,Tan,0.78,27.14,0,7,1,2
